municipio,rio,data,hora,latitude,longitude,choveu,ph,od,turbidez,temperatura,condutividade,std,fosforo,nitrogenio,salinidade,rio_original,status_ph,status_od,status_turbidez,indice_problemas,status_ph_graf,status_od_graf,status_turb_graf
SAO LUIS,RIO CALHAU,2024-09-12,10:55:00,-2.49149,-44.25874,não,7.37,1.69,18.99,28.12,5174.0,3363.41,,,2.77,RIO CALHAU,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO ITAPIRACO,2024-09-12,12:45:00,-2.52324,-44.20012,não,6.78,3.54,31.06,27.17,71.7,46.1,,,0.03,RIO ITAPIRACO,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO JAGUAREMA,2024-09-12,11:50:00,-2.4786,-44.21024,não,7.2,6.66,1.48,28.66,244.3,158.75,,,0.11,RIO JAGUAREMA,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO ANIL,2024-09-11,10:15:00,-2.53246,-44.27335,não,7.7,2.88,10.98,28.65,32928.0,21429.33,,,20.54,RIO ANIL,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO BACANGA,2024-09-11,10:42:00,-2.55823,-44.29807,não,8.5,7.93,31.21,29.7,37952.0,24674.89,,,23.97,RIO BACANGA,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2024-09-11,11:30:00,-2.65094,-44.21425,não,7.73,5.82,14.28,29.71,36912.0,23998.21,,,23.27,RIO TIBIRI,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO DOS CACHORROS,2024-09-10,15:00:00,-2.66701,-44.32009,não,7.59,8.44,26.12,30.03,34132.0,22219.42,,,21.42,RIO DOS CACHORROS,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2024-09-10,15:40:00,-2.68895,-44.2105,não,7.74,6.19,221.67,30.99,38729.0,25172.23,,,25.49,RIO TIBIRI,Conforme,Conforme,Não Conforme,1,Dentro do Padrão,Dentro do Padrão,Fora do Padrão
SAO LUIS,RIO CALHAU,2024-03-07,07:27:00,-2.48391,-44.26411,sim,6.94,2.91,23.48,27.8,15348.0,9957.42,,,8.87,RIO CALHAU,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO ITAPIRACO,2024-03-07,09:30:00,-2.52327,-44.20014,sim,5.9,3.54,25.23,26.87,79.0,51.33,,,0.04,RIO ITAPIRACO,Não Conforme,Não Conforme,Conforme,2,Fora do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO JAGUAREMA,2024-03-07,08:30:00,-2.47785,-44.21043,sim,6.43,6.33,9.6,27.66,252.9,164.3,,,0.12,RIO JAGUAREMA,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2024-03-06,08:10:00,-2.65084,-44.21442,sim,7.81,4.89,40.17,29.68,16401.0,10659.89,,,9.55,RIO TIBIRI,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO CALHAU,2023-11-23,08:20:00,-2.49149,-44.25874,,6.87,0.96,16.39,27.81,20832.0,2211940.0,,,12.45,RIO CALHAU,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO ITAPIRACO,2023-11-22,16:26:00,-2.52324,-44.20012,,8.31,1.32,15.66,28.38,77.6,200.0,,,0.05,RIO ITAPIRACO,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO JAGUAREMA,2023-11-21,14:15:00,-2.4786,-44.21024,,7.05,6.15,7.05,28.64,,320.0,,,0.11,RIO JAGUAREMA,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO ANIL,2023-11-20,09:40:00,-2.53246,-44.27335,,6.94,4.15,27.83,29.02,39426.0,24080.0,,,25.05,RIO ANIL,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO BACANGA,2023-11-20,10:20:00,-2.55823,-44.29807,,8.34,8.02,33.64,30.33,46880.0,29800.0,,,30.31,RIO BACANGA,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO DOS CACHORROS,2023-11-20,10:56:00,-2.66701,-44.32009,,7.72,6.18,21.83,29.84,44510.0,26820.0,,,28.7,RIO DOS CACHORROS,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2023-11-20,11:48:00,-2.68895,-44.2105,,7.8,6.19,30.43,30.47,46715.0,28240.0,,,30.17,RIO TIBIRI,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2023-11-20,13:20:00,-2.65094,-44.21425,,7.7,5.12,22.3,29.99,45433.0,27540.0,,,29.28,RIO TIBIRI,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO ANIL,2023-07-18,05:45:00,-2.52951,-44.27657,,7.15,51.2,85.02,28.9,35443.0,60.0,,,22.23,RIO ANIL,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO BACANGA,2023-07-18,06:15:00,-2.55799,-44.29814,,7.32,4.16,12.65,27.15,23410.0,80.0,,,14.2,RIO BACANGA,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO CALHAU,2023-07-18,12:40:00,-2.484,-44.2641,,6.55,1.86,18.2,28.12,9670.0,240.0,,,5.46,RIO CALHAU,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO DOS CACHORROS,2023-07-18,07:06:00,-2.66702,-44.32008,,7.18,5.39,22.4,29.4,32225.0,40.0,,,20.03,RIO DOS CACHORROS,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
